Archivo para el diccionario: !            2739
"            5
$1           1
$5           1
&            1
'            8525
-            1519
//www        11
0            2
000          1
1            47
12           2
150          2
1500         1
1772         1
1812         1
1820         2
1825         1
1826         1
1848         1
1887         1
2            5
20%          1
2001         1
2009         2
24           1
28054        3
3            12
30           2
31           1
4            10
5            5
50           1
500          3
501          2
596          1
6            4
60           1
6221541      1
64           1
7            5
750175       1
8            7
801          1
809          1
84116        1
9            5
90           2
99775        1
:            496
<http        1
?            25
@            2
_            35
__           1
_a           2
_ad          1
_ah          1
_all_        5
_all_?       1
_allow_      1
_an          1
_and         5
_another_    1
_any         1
_anything_   1
_après      1
_arrière    1
_as          1
_authority_  1
_auto        3
_awful_      1
_because     1
_beyond_—i 1
_bon         1
_c           7
_candide_    1
_cette       1
_chef        2
_chevalier_? 1
_community_  1
_compote_    5
_coup        1
_dead        1
_did_        1
_dixi        1
_d�shabill�_ 1
_editions_   1
_escaping_   1
_even        2
_evenings    1
_everything  1
_f_          1
_father      1
_feigned_    1
_first       1
_free_       1
_g_          1
_gatzuk_     1
_geological  1
_gossip_     4
_gott        3
_half_       1
_hamlet_     1
_happy_      1
_have        1
_he_         8
_he_?        1
_her_        5
_him_        5
_him_—that 1
_his         2
_his_        2
_hymn        1
_i           1
_ici_        6
_if          1
_il          2
_in          2
_is_         1
_it          1
_je          1
_jesus       2
_knew_       1
_lajdak      1
_lajdak_     5
_last        1
_le          4
_les         1
_lives       5
_living_     1
_long        1
_maman_      1
_me          1
_merci       1
_miracle_    1
_monsieur    1
_monsieur_   1
_must_       2
_my          1
_mystery_    2
_naivet�_    1
_noblesse_   1
_not         1
_notre       1
_now_        1
_of          2
_on          5
_only_       1
_pan         1
_pan_        10
_panem       1
_pani_       11
_panie       3
_panie_      22
_panie_?     7
_panienotchka_ 1
_panovie     1
_panovie_    7
_panovie_?   1
_panovie_— 1
_particularly_ 1
_passons_    1
_pity_       1
_please      1
_plus        2
_poseurs_    1
_professions 1
_quelle      1
_qui         1
_quiproquo_? 1
_recherch�_  1
_robbers_    2
_s           1
_savant_     1
_she_        1
_she_?       1
_sine        1
_soir�e_     1
_something_  1
_soon        1
_sorrow      1
_spazieren_  1
_such        1
_sum         2
_tableaux    1
_that        1
_that_       1
_the         8
_this_       1
_together_   1
_tout        1
_tête       1
_un          1
_universal   1
_versions_   1
_vieilles    1
_virtue_     1
_vonsohn_    1
_vous        1
_was_        1
_when        1
_who         1
_with        1
_you_        2
_your_       1
_à          6
_�lite_      1
_�tape_      3
a            6839
aback        8
abandon      13
abandoned    15
abandoning   4
abasement    1
abashed      3
abasing      1
aberration   18
aberration?  2
abide        1
abideth      2
abilities    2
ability      4
abject       7
abject?      1
able         53
abnegation   2
abnormal     3
abnormalities 2
abnormality  2
abode        1
abolish      1
abolished    1
abolition    2
abominable   2
about        817
about?       14
above        78
abraham      4
abreast      1
abroad       15
abrupt       3
abruptly     12
abruptness   1
absence      11
absence?     1
absent       12
absolute     14
absolutely   26
absolution   1
absolve      1
absolved     2
absorbed     4
absorbing    1
absorption   1
abstinence   1
abstract     2
absurd       26
absurd?      1
absurdities  2
absurdity    8
abundance    1
abundant     3
abuse        9
abused       3
abuses       4
abusing      6
abusive      1
abyss        1
academy      2
acad�micien  1
accede       1
accent       3
accentuated  1
accept       36
acceptable   2
accepted     20
accepting    4
access       11
accessed     1
accessible   1
accessory    1
accident     1
accidentally 6
acclaim      1
acclaimed    1
accommodating 3
accompanied  10
accompanies  1
accompany    4
accompanying 5
accomplice   9
accomplice?  1
accomplices  2
accomplish   2
accomplished 8
accomplishing 1
accord       8
accordance   10
according    38
accordingly  1
account      71
account?     1
accounts     8
accounts?    1
accumulated  3
accumulating 2
accumulation 4
accurately   2
accursed     12
accusation   7
accusations  2
accuse       13
accuse?      1
accused      16
accuses      1
accusing     3
accustomed   9
ace          1
ach          12
ache         5
ached        7
aches        5
achieve      1
achievement  2
achievements 1
aching       7
aching—in  1
acknowledge  2
acknowledged 2
acknowledging 2
acquaintance 28
acquaintance? 1
acquaintances 5
acquainted   6
acquiesced   1
acquiescence 1
acquire      3
acquired     3
acquirements 1
acquisitive  1
acquit       7
acquittal    6
acquitted    9
acquitted?   2
acres        1
across       26
act          30
acted        11
acting       11
action       36
action?      1
actions      10
action—a   1
action—it  1
active       15
actively     3
activity     3
actor        1
actors       3
actress      1
acts         2
actual       12
actuality    1
actually     24
actuated     1
acute        3
acutely      2
acutest      1
adam         3
add          27
add?         1
added        108
adding       5
addition     2
additional   5
additions    1
address      9
addressed    15
addresses    1
addressing   28
adds         3
adelaida     14
adept        1
adequate     1
adhered      4
adherents    1
adheres      2
adjoining    4
adjourned    3
administered 1
administering 1
administrative 1
admiration   3
admire       4
admired      1
admirer      2
admiring     3
admission    5
admit        36
admits       4
admittance   1
admitted     23
admitting    3
admonished   4
admonition   2
admonitions  2
adopt        1
adopted      5
adopting     3
adoption     1
adoration    3
adore        4
adored       6
adores       1
adoring      1
adorning     1
adrift       1
adroitly     1
advance      2
advanced     5
advances     1
advancing    1
advantage    16
advantageous 2
adventure    4
adventures   3
adversary    2
advertise    1
advice       20
advise       6
advised      5
adviser      2
advising     1
advocate     3
afanasy      8
afar         6
affable      3
affably      2
affair       19
affair?      1
affaire      1
affairs      13
affect       2
affectation  2
affected     4
